Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Ardisia_missionis,0.983,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,7.2
Ardisia_pauciflora,0.964,0.0,4.5,0.0,0.1,0.0,0.0,0.8,0.0,1.6,23.9,2.9,14.5,0.0,0.6,0.0,0.0,1.6,0.0,49.4,0.2
Ardisia_rhomboidea,0.981,0.0,0.4,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.4,2.6,0.1,0.0,67.4,23.4,0.1,4.2,0.0,0.1,0.0
Ardisia_solanacea,0.936,0.0,4.1,0.0,2.3,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,36.4,11.5,10.7,0.0,0.1,31.2,1.4,0.0
Ardisia_stonei,0.971,0.0,1.2,0.0,51.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.6
Arenga_wightii,0.97,0.0,0.0,11.8,15.9,0.0,0.0,8.9,2.7,0.0,0.2,0.2,0.0,1.7,0.0,1.7,22.4,0.0,1.8,13.7,19.0
Artocarpus_gomezianus,0.932,0.1,0.0,15.5,0.4,0.0,0.6,0.4,0.0,1.7,0.0,0.0,20.5,0.0,17.1,1.3,0.8,0.2,14.5,6.4,20.4
Artocarpus_heterophyllus,0.898,3.7,2.9,7.0,1.9,0.4,2.9,0.1,0.1,0.0,5.4,3.7,44.0,0.8,11.4,1.7,0.1,0.1,1.0,9.2,3.3
Artocarpus_hirsutus,0.916,0.0,0.0,12.2,0.2,2.9,5.7,0.0,0.0,0.7,2.1,0.5,24.2,0.9,1.6,4.7,20.6,5.0,3.6,4.2,11.0
Atalantia_racemosa,0.937,0.0,0.7,0.5,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,14.0,19.6,0.1,35.5,0.0,1.7,3.1,1.2,22.7
Atalantia_wightii,0.907,0.0,3.7,29.9,0.8,0.0,0.0,8.4,5.8,0.1,0.3,0.1,20.7,1.1,0.4,1.6,0.0,0.1,0.1,1.5,25.5
